capabilityKey	publicSymbols	executedTests	compilerEvidenceIds	sharedScenarios
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentTurnRequest|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentTurnRequest.serviceTier|{}serviceTier[0]|propertyKind=VAL|type=kotlin/String?	CodexAgent.CodexTurnRequest.ServiceTier	csharp.residual.CodexTurnRequest.ServiceTier	c-header:codex_agent_turn_request_has_service_tier,c-header:codex_agent_turn_request_service_tier_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCConversationAggregateValuesTest#projectsAgentTurnRequestAndInvocationCarrierExactly[macosArm64]	nullability,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentWorkActivity|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentWorkActivity.RUNNING_COMMAND|null[0]	CodexAgent.CodexWorkActivity.RunningCommand	csharp.enum.CodexWorkActivity.RunningCommand	c-header-enum:102	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentWorkActivity|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentWorkActivity.WRITING_FILES|null[0]	CodexAgent.CodexWorkActivity.WritingFiles	csharp.enum.CodexWorkActivity.WritingFiles	c-header-enum:103	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAgent|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAgent.authentication|{}authentication[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication!!	CodexAgent.CodexAgent.Authentication	csharp.agent:000	c-header:codex_agent_agent_authentication,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCServiceHandlesTest#agentFacadesAreIdentityStableExactAndFailClosed[macosArm64],csharp-il-agent:000	identity,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAgent|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAgent.connectors|{}connectors[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexConnectors!!	CodexAgent.CodexAgent.Connectors	csharp.agent:001	c-header:codex_agent_agent_connectors,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCServiceHandlesTest#agentFacadesAreIdentityStableExactAndFailClosed[macosArm64],csharp-il-agent:001	identity,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAgent|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAgent.conversations|{}conversations[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexConversations!!	CodexAgent.CodexAgent.Conversations	csharp.agent:002	c-header:codex_agent_agent_conversations,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCLifecycleTest#projectsCanonicalLifecycleAndQuiescesEveryCallback[macosArm64],csharp-il-agent:002	identity,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAgent|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAgent.hooks|{}hooks[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexHooks!!	CodexAgent.CodexAgent.Hooks	csharp.agent:003	c-header:codex_agent_agent_hooks,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCServiceHandlesTest#agentFacadesAreIdentityStableExactAndFailClosed[macosArm64],csharp-il-agent:003	identity,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAgent|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAgent.integrationAuthorization|{}integrationAuthorization[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexIntegrationAuthorization!!	CodexAgent.CodexAgent.IntegrationAuthorization	csharp.agent:004	c-header:codex_agent_agent_integration_authorization,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCServiceHandlesTest#agentFacadesAreIdentityStableExactAndFailClosed[macosArm64],csharp-il-agent:004	identity,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAgent|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAgent.interactions|{}interactions[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexInteractions!!	CodexAgent.CodexAgent.Interactions	csharp.agent:005	c-header:codex_agent_agent_interactions,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCServiceHandlesTest#agentFacadesAreIdentityStableExactAndFailClosed[macosArm64],csharp-il-agent:005	identity,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAgent|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAgent.mcpServers|{}mcpServers[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexMcpServers!!	CodexAgent.CodexAgent.McpServers	csharp.agent:006	c-header:codex_agent_agent_mcp_servers,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCServiceHandlesTest#agentFacadesAreIdentityStableExactAndFailClosed[macosArm64],csharp-il-agent:006	identity,parent-child-ownership,value-conversion
