capabilityKey	publicSymbols	executedTests	compilerEvidenceIds	sharedScenarios
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookCatalog|kind=constructor|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookCatalog.<init>|<init>(kotlin.collections.List<io.github.codex_agent_labs.codexagent.agent.AgentHook>;kotlin.collections.List<kotlin.String>;kotlin.collections.List<kotlin.String>){}[0]|return=io.github.codex_agent_labs.codexagent.agent/AgentHookCatalog|suspend=false|parameters=[REGULAR:kotlin.collections/List<INVARIANT:io.github.codex_agent_labs.codexagent.agent/AgentHook!!>!!:default=false:vararg=false,REGULAR:kotlin.collections/List<INVARIANT:kotlin/String!!>!!:default=true:vararg=false,REGULAR:kotlin.collections/List<INVARIANT:kotlin/String!!>!!:default=true:vararg=false]	codex_agent::HookCatalog::new	rust.residual:061	c-header:codex_agent_hook_catalog_create,c-header:codex_agent_hook_catalog_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsOrderedDuplicateCatalogAndFreshChildrenExactly[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#rejectsInvalidHookCatalogInputsAndHandleMisuseExactly[macosArm64]	collection-immutability-ordering,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookCatalog|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookCatalog.errors|{}errors[0]|propertyKind=VAL|type=kotlin.collections/List<INVARIANT:kotlin/String!!>!!	codex_agent::HookCatalog::errors	rust.residual:062	c-header:codex_agent_hook_catalog_errors_copy_at,c-header:codex_agent_hook_catalog_errors_count,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsOrderedDuplicateCatalogAndFreshChildrenExactly[macosArm64]	collection-immutability-ordering,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookCatalog|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookCatalog.hooks|{}hooks[0]|propertyKind=VAL|type=kotlin.collections/List<INVARIANT:io.github.codex_agent_labs.codexagent.agent/AgentHook!!>!!	codex_agent::HookCatalog::hooks	rust.residual:063	c-header:codex_agent_hook_catalog_hooks_at,c-header:codex_agent_hook_catalog_hooks_count,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsOrderedDuplicateCatalogAndFreshChildrenExactly[macosArm64]	collection-immutability-ordering,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookCatalog|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookCatalog.warnings|{}warnings[0]|propertyKind=VAL|type=kotlin.collections/List<INVARIANT:kotlin/String!!>!!	codex_agent::HookCatalog::warnings	rust.residual:064	c-header:codex_agent_hook_catalog_warnings_copy_at,c-header:codex_agent_hook_catalog_warnings_count,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsOrderedDuplicateCatalogAndFreshChildrenExactly[macosArm64]	collection-immutability-ordering,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.Agent|kind=object|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.Agent|null[0]	codex_agent::AgentHookHandler::INSTANCE	rust.residual:065	c-header:codex_agent_hook_handler_agent_acquire,c-header:codex_agent_hook_handler_agent_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#projectsEveryHookHandlerVariantExactly[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#rejectsWrongContextPayloadAndStaleHandles[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.Command|kind=constructor|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.Command.<init>|<init>(kotlin.String;kotlin.Boolean){}[0]|return=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.Command|suspend=false|parameters=[REGULAR:kotlin/String!!:default=false:vararg=false,REGULAR:kotlin/Boolean!!:default=false:vararg=false]	codex_agent::CommandHookHandler::new	rust.residual:066	c-header:codex_agent_hook_handler_command_create,c-header:codex_agent_hook_handler_command_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#projectsEveryHookHandlerVariantExactly[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#rejectsInvalidViewsFlagsAndOutputSlots[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.Command|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.Command.command|{}command[0]|propertyKind=VAL|type=kotlin/String!!	codex_agent::CommandHookHandler::command	rust.residual:067	c-header:codex_agent_hook_handler_command_command_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#projectsEveryHookHandlerVariantExactly[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#rejectsWrongContextPayloadAndStaleHandles[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.Command|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.Command.isAsync|{}isAsync[0]|propertyKind=VAL|type=kotlin/Boolean!!	codex_agent::CommandHookHandler::is_async	rust.residual:068	c-header:codex_agent_hook_handler_command_is_async,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#projectsEveryHookHandlerVariantExactly[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#rejectsWrongContextPayloadAndStaleHandles[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.McpTool|kind=constructor|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.McpTool.<init>|<init>(kotlin.String;kotlin.String){}[0]|return=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.McpTool|suspend=false|parameters=[REGULAR:kotlin/String!!:default=false:vararg=false,REGULAR:kotlin/String!!:default=false:vararg=false]	codex_agent::McpToolHookHandler::new	rust.residual:069	c-header:codex_agent_hook_handler_mcp_tool_create,c-header:codex_agent_hook_handler_mcp_tool_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#projectsEveryHookHandlerVariantExactly[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#rejectsInvalidViewsFlagsAndOutputSlots[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.McpTool|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler.McpTool.server|{}server[0]|propertyKind=VAL|type=kotlin/String!!	codex_agent::McpToolHookHandler::server	rust.residual:070	c-header:codex_agent_hook_handler_mcp_tool_server_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#projectsEveryHookHandlerVariantExactly[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCFormHookValuesTest#rejectsWrongContextPayloadAndStaleHandles[macosArm64]	value-conversion
