capabilityKey	publicSymbols	executedTests	compilerEvidenceIds	sharedScenarios
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexHostState.Ready|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexHostState.Ready.agent|{}agent[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexAgent!!	CodexReadyHostState.agent	dart.host:001	c-header:codex_agent_host_state_agent,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCLifecycleTest#projectsCanonicalLifecycleAndQuiescesEveryCallback[macosArm64],dart-analyzer-host:001	identity,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexHostState.Restoring|kind=object|abi=io.github.codex_agent_labs.codexagent.agent/CodexHostState.Restoring|null[0]	CodexRestoringHostState.instance	dart.residual:165	c-header:CODEX_AGENT_HOST_STATE_RESTORING,c-header:codex_agent_host_state_kind,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCValueProjectionTest#projectsMissingHostStateVariantsAndPayloadsExactly[macosArm64],dart-analyzer-residual:165	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexHostState.WorkspaceRequired|kind=constructor|abi=io.github.codex_agent_labs.codexagent.agent/CodexHostState.WorkspaceRequired.<init>|<init>(io.github.codex_agent_labs.codexagent.agent.CodexWorkspaceResolution.SelectionRequired){}[0]|return=io.github.codex_agent_labs.codexagent.agent/CodexHostState.WorkspaceRequired|suspend=false|parameters=[REGULAR:io.github.codex_agent_labs.codexagent.agent/CodexWorkspaceResolution.SelectionRequired!!:default=false:vararg=false]	CodexWorkspaceRequiredHostState.new	dart.residual:166	c-header:CODEX_AGENT_HOST_STATE_WORKSPACE_REQUIRED,c-header:codex_agent_host_state_kind,c-header:codex_agent_host_state_requirement_message_copy,c-header:codex_agent_host_state_requirement_reason,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCValueProjectionTest#projectsMissingHostStateVariantsAndPayloadsExactly[macosArm64],dart-analyzer-residual:166	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexHostState.WorkspaceRequired|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexHostState.WorkspaceRequired.requirement|{}requirement[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexWorkspaceResolution.SelectionRequired!!	CodexWorkspaceRequiredHostState.requirement	dart.residual:167	c-header:codex_agent_host_state_workspace_required_requirement,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCRootValueAccessorsTest#hostSubtypePayloadsAreExactFreshAndFailClosed[macosArm64],dart-analyzer-residual:167	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexHost|kind=constructor|abi=io.github.codex_agent_labs.codexagent.agent/CodexHost.<init>|<init>(io.github.codex_agent_labs.codexagent.agent.CodexPlatform;io.github.codex_agent_labs.codexagent.agent.CodexClientInfo){}[0]|return=io.github.codex_agent_labs.codexagent.agent/CodexHost|suspend=false|parameters=[REGULAR:io.github.codex_agent_labs.codexagent.agent/CodexPlatform!!:default=false:vararg=false,REGULAR:io.github.codex_agent_labs.codexagent.agent/CodexClientInfo!!:default=false:vararg=false]	CodexHost.create	dart.host:002	c-header:codex_agent_host_create,c-header:codex_agent_host_options_t,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHostFactoryTest#createsCopiedCanonicalHostWithOwnedRetainedAndClosedAliases[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHostFactoryTest#rejectsInvalidFactoryInputsWithoutChangingOutput[macosArm64],dart-analyzer-host:002	parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexHost|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexHost.close|close(){}[0]|return=kotlin/Unit|suspend=true|parameters=[]	CodexHost.close	dart.host:003	c-header:codex_agent_host_close,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCLifecycleTest#projectsCanonicalLifecycleAndQuiescesEveryCallback[macosArm64],dart-analyzer-host:003	async-failure,async-success,cancellation,parent-child-ownership,repeated-close-dispose,structured-failure,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexHost|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexHost.selectWorkspace|selectWorkspace(io.github.codex_agent_labs.codexagent.agent.CodexWorkspaceSelection){}[0]|return=kotlin/Unit|suspend=true|parameters=[REGULAR:io.github.codex_agent_labs.codexagent.agent/CodexWorkspaceSelection!!:default=false:vararg=false]	CodexHost.selectWorkspace	dart.host:004	c-header:codex_agent_host_select_workspace,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCLifecycleTest#projectsCanonicalLifecycleAndQuiescesEveryCallback[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCLifecycleTest#projectsStructuredPrepareFailureAndQuiescesFailedHost[macosArm64],dart-analyzer-host:004	async-failure,async-success,cancellation,parent-child-ownership,structured-failure,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexHost|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexHost.start|start(){}[0]|return=kotlin/Unit|suspend=true|parameters=[]	CodexHost.start	dart.host:005	c-header:codex_agent_host_start,c-header:codex_agent_operation_result,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSuspendLifecycleOperationsTest#hostStartCompletesCanonicalOperationAndHoldsTargetThroughCallback[macosArm64],dart-analyzer-host:005	async-failure,async-success,cancellation,parent-child-ownership,structured-failure,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexHost|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexHost.lifecycleState|{}lifecycleState[0]|propertyKind=VAL|type=kotlinx.coroutines.flow/StateFlow<INVARIANT:io.github.codex_agent_labs.codexagent.agent/CodexHostState!!>!!	CodexHost.state	dart.host:006	c-header:codex_agent_host_state_get,c-header:codex_agent_host_state_subscribe,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCLifecycleTest#projectsCanonicalLifecycleAndQuiescesEveryCallback[macosArm64],dart-analyzer-host:006	identity,parent-child-ownership,state-current-value,state-subsequent-value,subscription-cancellation,terminal-delivery,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexIntegrationAuthorization|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexIntegrationAuthorization.authorize|authorize(0:0){0§<io.github.codex_agent_labs.codexagent.agent.AgentIntegration>}[0]|return=kotlin/Unit|suspend=true|parameters=[REGULAR:^A1:default=false:vararg=false]	CodexIntegrationAuthorization.authorize	dart.leaf:013	c-header:codex_agent_integration_authorization_authorize,c-header:codex_agent_operation_result,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSuspendLifecycleOperationsTest#integrationAuthorizationAuthorizeCopiesAndExecutesBothTargetVariants[macosArm64],dart-analyzer-leaf:013	async-success,parent-child-ownership,value-conversion
