capabilityKey	publicSymbols	executedTests	compilerEvidenceIds	sharedScenarios
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentInvocation.Skill|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentInvocation.Skill.key|{}key[0]|propertyKind=VAL|type=kotlin/String!!	codex_agent.SkillInvocation.key	python.residual:113	c-header:codex_agent_invocation_skill_key_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInvocationAuthValuesTest#invocationLeavesCopyInputsAndProjectCanonicalKeys[macosArm64],python-analyzer-residual:113	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentInvocation.Skill|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentInvocation.Skill.name|{}name[0]|propertyKind=VAL|type=kotlin/String!!	codex_agent.SkillInvocation.name	python.residual:114	c-header:codex_agent_invocation_skill_name_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInvocationAuthValuesTest#invocationLeavesCopyInputsAndProjectCanonicalKeys[macosArm64],python-analyzer-residual:114	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentInvocation.Skill|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentInvocation.Skill.path|{}path[0]|propertyKind=VAL|type=kotlin/String!!	codex_agent.SkillInvocation.path	python.residual:115	c-header:codex_agent_invocation_skill_path_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCInvocationAuthValuesTest#invocationLeavesCopyInputsAndProjectCanonicalKeys[macosArm64],python-analyzer-residual:115	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentInvocation|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentInvocation.key|{}key[0]|propertyKind=VAL|type=kotlin/String!!	codex_agent.Invocation.key	python.residual:116	c-header:codex_agent_invocation_key_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSealedBasePropertyValuesTest#invocationBasePropertiesProjectBothConcreteVariants[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSealedBasePropertyValuesTest#sealedBaseAccessorsFailClosedAndContextReclaimsSnapshots[macosArm64],python-analyzer-residual:116	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentInvocation|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentInvocation.name|{}name[0]|propertyKind=VAL|type=kotlin/String!!	codex_agent.Invocation.name	python.residual:117	c-header:codex_agent_invocation_name_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSealedBasePropertyValuesTest#invocationBasePropertiesProjectBothConcreteVariants[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSealedBasePropertyValuesTest#sealedBaseAccessorsFailClosedAndContextReclaimsSnapshots[macosArm64],python-analyzer-residual:117	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthStatus.BEARER_TOKEN|null[0]	codex_agent.McpAuthStatus.BEARER_TOKEN	python.enum.McpAuthStatus.BEARER_TOKEN	c-header-enum:63	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthStatus.NOT_LOGGED_IN|null[0]	codex_agent.McpAuthStatus.NOT_LOGGED_IN	python.enum.McpAuthStatus.NOT_LOGGED_IN	c-header-enum:64	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthStatus.OAUTH|null[0]	codex_agent.McpAuthStatus.OAUTH	python.enum.McpAuthStatus.OAUTH	c-header-enum:65	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthStatus.UNKNOWN|null[0]	codex_agent.McpAuthStatus.UNKNOWN	python.enum.McpAuthStatus.UNKNOWN	c-header-enum:66	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthStatus|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthStatus.UNSUPPORTED|null[0]	codex_agent.McpAuthStatus.UNSUPPORTED	python.enum.McpAuthStatus.UNSUPPORTED	c-header-enum:67	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthentication|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthentication.CHAT_GPT|null[0]	codex_agent.McpAuthentication.CHAT_GPT	python.enum.McpAuthentication.CHAT_GPT	c-header-enum:68	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthentication|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthentication.OAUTH|null[0]	codex_agent.McpAuthentication.OAUTH	python.enum.McpAuthentication.OAUTH	c-header-enum:69	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentSource|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentSource.LOCAL|null[0]	codex_agent.McpEnvironmentSource.LOCAL	python.enum.McpEnvironmentSource.LOCAL	c-header-enum:70	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentSource|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentSource.REMOTE|null[0]	codex_agent.McpEnvironmentSource.REMOTE	python.enum.McpEnvironmentSource.REMOTE	c-header-enum:71	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentVariable|kind=constructor|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentVariable.<init>|<init>(kotlin.String;io.github.codex_agent_labs.codexagent.agent.AgentMcpEnvironmentSource?){}[0]|return=io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentVariable|suspend=false|parameters=[REGULAR:kotlin/String!!:default=false:vararg=false,REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentSource?:default=true:vararg=false]	codex_agent.McpEnvironmentVariable	python.value.McpEnvironmentVariable.constructor	c-header:codex_agent_mcp_environment_variable_create,c-header:codex_agent_mcp_environment_variable_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCConfigurationValuesTest#mcpEnvironmentVariableProjectsEverySourceAndAbsentSource[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCConfigurationValuesTest#mcpEnvironmentVariableRejectsBlankFlagsAbsentScalarAndUnknownSource[macosArm64]	nullability,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentVariable|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentVariable.name|{}name[0]|propertyKind=VAL|type=kotlin/String!!	codex_agent.McpEnvironmentVariable.name	python.value.McpEnvironmentVariable.name	c-header:codex_agent_mcp_environment_variable_name_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCConfigurationValuesTest#mcpEnvironmentVariableProjectsEverySourceAndAbsentSource[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentVariable|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentVariable.source|{}source[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/AgentMcpEnvironmentSource?	codex_agent.McpEnvironmentVariable.source	python.value.McpEnvironmentVariable.source	c-header:codex_agent_mcp_environment_variable_source,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCConfigurationValuesTest#mcpEnvironmentVariableProjectsEverySourceAndAbsentSource[macosArm64]	nullability,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpOauthConfiguration|kind=constructor|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpOauthConfiguration.<init>|<init>(kotlin.String?;kotlin.Int?){}[0]|return=io.github.codex_agent_labs.codexagent.agent/AgentMcpOauthConfiguration|suspend=false|parameters=[REGULAR:kotlin/String?:default=true:vararg=false,REGULAR:kotlin/Int?:default=true:vararg=false]	codex_agent.McpOauthConfiguration	python.value.McpOauthConfiguration.constructor	c-header:codex_agent_mcp_oauth_configuration_create,c-header:codex_agent_mcp_oauth_configuration_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCConfigurationValuesTest#mcpOauthConfigurationPreservesNullableValuesAndPortBoundaries[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCConfigurationValuesTest#mcpOauthConfigurationRejectsInvalidFlagsPairsUtf8AndPorts[macosArm64]	nullability,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpOauthConfiguration|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpOauthConfiguration.callbackPort|{}callbackPort[0]|propertyKind=VAL|type=kotlin/Int?	codex_agent.McpOauthConfiguration.callback_port	python.value.McpOauthConfiguration.callback_port	c-header:codex_agent_mcp_oauth_configuration_callback_port,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCConfigurationValuesTest#mcpOauthConfigurationPreservesNullableValuesAndPortBoundaries[macosArm64]	nullability,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpOauthConfiguration|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpOauthConfiguration.clientId|{}clientId[0]|propertyKind=VAL|type=kotlin/String?	codex_agent.McpOauthConfiguration.client_id	python.value.McpOauthConfiguration.client_id	c-header:codex_agent_mcp_oauth_configuration_client_id_copy,c-header:codex_agent_mcp_oauth_configuration_has_client_id,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCConfigurationValuesTest#mcpOauthConfigurationPreservesNullableValuesAndPortBoundaries[macosArm64]	nullability,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpServerConfiguration|kind=constructor|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpServerConfiguration.<init>|<init>(kotlin.String;io.github.codex_agent_labs.codexagent.agent.AgentMcpTransport;io.github.codex_agent_labs.codexagent.agent.AgentMcpAuthentication?;kotlin.String;kotlin.Boolean;kotlin.Boolean;kotlin.Boolean;kotlin.collections.List<io.github.codex_agent_labs.codexagent.agent.AgentMcpToolExposureSurface>?;kotlin.Double?;kotlin.Double?;io.github.codex_agent_labs.codexagent.agent.AgentMcpToolApproval?;kotlin.collections.List<kotlin.String>?;kotlin.collections.List<kotlin.String>?;kotlin.collections.List<kotlin.String>?;io.github.codex_agent_labs.codexagent.agent.AgentMcpOauthConfiguration?;kotlin.String?;kotlin.collections.Map<kotlin.String,io.github.codex_agent_labs.codexagent.agent.AgentMcpToolConfiguration>){}[0]|return=io.github.codex_agent_labs.codexagent.agent/AgentMcpServerConfiguration|suspend=false|parameters=[REGULAR:kotlin/String!!:default=false:vararg=false,REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentMcpTransport!!:default=false:vararg=false,REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthentication?:default=true:vararg=false,REGULAR:kotlin/String!!:default=true:vararg=false,REGULAR:kotlin/Boolean!!:default=true:vararg=false,REGULAR:kotlin/Boolean!!:default=true:vararg=false,REGULAR:kotlin/Boolean!!:default=true:vararg=false,REGULAR:kotlin.collections/List<INVARIANT:io.github.codex_agent_labs.codexagent.agent/AgentMcpToolExposureSurface!!>?:default=true:vararg=false,REGULAR:kotlin/Double?:default=true:vararg=false,REGULAR:kotlin/Double?:default=true:vararg=false,REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentMcpToolApproval?:default=true:vararg=false,REGULAR:kotlin.collections/List<INVARIANT:kotlin/String!!>?:default=true:vararg=false,REGULAR:kotlin.collections/List<INVARIANT:kotlin/String!!>?:default=true:vararg=false,REGULAR:kotlin.collections/List<INVARIANT:kotlin/String!!>?:default=true:vararg=false,REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentMcpOauthConfiguration?:default=true:vararg=false,REGULAR:kotlin/String?:default=true:vararg=false,REGULAR:kotlin.collections/Map<INVARIANT:kotlin/String!!,INVARIANT:io.github.codex_agent_labs.codexagent.agent/AgentMcpToolConfiguration!!>!!:default=true:vararg=false]	codex_agent.McpServerConfiguration	python.value.McpServerConfiguration.constructor	c-header:codex_agent_mcp_server_configuration_create,c-header:codex_agent_mcp_server_configuration_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCMcpServerConfigurationValuesTest#d098ConfigurationPreservesAbsentPresentEmptyDefaultsAndAllAuthenticationValues[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCMcpServerConfigurationValuesTest#d098ConfigurationProjectsEveryPropertyEnumCollectionAndOwnedChild[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCMcpServerConfigurationValuesTest#d098ConfigurationRejectsMalformedCanonicalAndOwnershipInputs[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCMcpServerConfigurationValuesTest#d098TransportCarrierIsTaggedOwnedAndFailClosed[macosArm64]	collection-immutability-ordering,nullability,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpServerConfiguration|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpServerConfiguration.authentication|{}authentication[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/AgentMcpAuthentication?	codex_agent.McpServerConfiguration.authentication	python.value.McpServerConfiguration.authentication	c-header:codex_agent_mcp_server_configuration_authentication,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCMcpServerConfigurationValuesTest#d098ConfigurationPreservesAbsentPresentEmptyDefaultsAndAllAuthenticationValues[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCMcpServerConfigurationValuesTest#d098ConfigurationProjectsEveryPropertyEnumCollectionAndOwnedChild[macosArm64]	nullability,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentMcpServerConfiguration|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentMcpServerConfiguration.defaultToolApproval|{}defaultToolApproval[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/AgentMcpToolApproval?	codex_agent.McpServerConfiguration.default_tool_approval	python.value.McpServerConfiguration.default_tool_approval	c-header:codex_agent_mcp_server_configuration_default_tool_approval,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCMcpServerConfigurationValuesTest#d098ConfigurationPreservesAbsentPresentEmptyDefaultsAndAllAuthenticationValues[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCMcpServerConfigurationValuesTest#d098ConfigurationProjectsEveryPropertyEnumCollectionAndOwnedChild[macosArm64]	nullability,value-conversion
